state_name,city_name,category,description,latitude,longitude,best_time_to_visit,popular_months,tourist_rating,risk_index,photos,top_attractions,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Visitors_2024,Visitors_2025,flood_risk,landslide_risk,earthquake_zone,crime_rate,accident_rate,health_alerts,safety_suggestions,cyclone_risk,drought_risk,forest_fire_risk
Arunachal Pradesh,Tawang,Religious,Famous for Tawang Monastery,27.5867,91.8668,April - June,"April,May,June",4.6,0.18,,"[{""name"": ""Tawang Monastery"", ""description"": ""The second largest monastery in the world and an important center of Mahayana Buddhism, offering spiritual peace and breathtaking views of the mountains.""},{""name"": ""Madhuri Lake"", ""description"": ""A stunning lake formed by an earthquake, surrounded by snow-clad peaks, made famous by the Bollywood movie Koyla.""},{""name"": ""Sela Pass"", ""description"": ""A high-altitude pass at over 13,000 feet offering snow-covered vistas and connecting Tawang to the rest of Arunachal Pradesh.""}]",288700,222030,292833,231299,230256,356871,3,1,2,3.38,3.8,1,4,2,1,1
Arunachal Pradesh,Ziro Valley,Valley,Known for scenic landscapes and Apatani tribe,27.6151,93.837,March - May,"March,April,May",4.3,0.15,,"[{""name"": ""Ziro Valley"", ""description"": ""A UNESCO World Heritage candidate known for its emerald paddy fields, pine-clad mountains, and the unique lifestyle of the Apatani tribe.""},{""name"": ""Tarin Fish Farm"", ""description"": ""A fascinating fish farm nestled amidst terraced fields, demonstrating the sustainable farming methods of the Apatanis.""},{""name"": ""Talley Valley Wildlife Sanctuary"", ""description"": ""A dense forest sanctuary rich in biodiversity, home to orchids, bamboo, and several rare animal species.""}]",290907,248106,73615,231592,342502,309760,3,1,2,4.14,1.47,0,1,1,1,3
Arunachal Pradesh,Itanagar,Capital,Capital city of Arunachal Pradesh,27.0844,93.6053,March - June,"March,April,May,June",4.0,0.12,,"[{""name"": ""Ita Fort"", ""description"": ""An ancient brick fort built in the 14th century, giving the city its name ‘Itanagar’, with panoramic city views.""},{""name"": ""Ganga Lake (Gyakar Sinyi)"", ""description"": ""A picturesque lake surrounded by lush forests, ideal for boating and picnics.""},{""name"": ""Jawaharlal Nehru State Museum"", ""description"": ""A museum showcasing the tribal heritage, costumes, and crafts of Arunachal Pradesh.""}]",253196,171793,107350,79521,304316,164071,1,1,5,1.64,0.64,2,1,2,3,1
Arunachal Pradesh,Bomdila,Hill Station,Known for scenic beauty and apple orchards,27.3167,92.4673,April - June,"April,May,June",4.2,0.14,,"[{""name"": ""Bomdila Monastery"", ""description"": ""A peaceful Buddhist monastery modeled after the Tsona Gontse Monastery in Tibet, providing a serene retreat.""},{""name"": ""Bomdila Viewpoint"", ""description"": ""Offers captivating views of snow-clad Himalayan peaks and valleys.""},{""name"": ""Apple Orchards"", ""description"": ""Vast orchards where visitors can enjoy fresh apples and local produce amid stunning surroundings.""}]",249919,262930,123487,207073,245630,139691,3,2,2,3.75,1.68,2,1,2,3,3
Arunachal Pradesh,Namdapha National Park,Nature,Biodiverse protected area,27.2833,96.0833,October - February,"October,November,December,January",4.7,0.1,,"[{""name"": ""Namdapha National Park"", ""description"": ""A vast and biodiverse wildlife sanctuary home to tigers, clouded leopards, and rare red pandas, making it a paradise for nature enthusiasts.""},{""name"": ""Miao Museum"", ""description"": ""Showcases the cultural heritage and tribal artifacts of the region.""},{""name"": ""Deban Forest Camp"", ""description"": ""A riverside eco-camp inside the park where visitors can stay amid dense forests and wildlife sounds.""}]",203504,289129,326943,119049,342764,168467,2,1,3,2.98,3.18,3,1,2,2,3
Arunachal Pradesh,Roing,Town,Gateway town to the Dibang Valley,28.0975,95.5253,March - June,"March,April,May,June",3.8,0.12,,"[{""name"": ""Mayudia Pass"", ""description"": ""A beautiful snow-covered mountain pass offering panoramic views and ideal conditions for trekking and photography.""},{""name"": ""Bhismaknagar Fort"", ""description"": ""An ancient fort believed to be linked to Mahabharata legends, offering historical and archaeological insights.""},{""name"": ""Mehao Lake"", ""description"": ""A pristine natural lake surrounded by thick forests, popular for boating and nature walks.""}]",245161,212262,114769,110100,61064,240198,1,3,2,3.79,0.73,0,3,3,3,2
Arunachal Pradesh,Mechuka,Valley,Scenic valley with indigenous tribes,29.825,95.3492,April - June,"April,May,June",3.9,0.13,,"[{""name"": ""Samten Yongcha Monastery"", ""description"": ""A 400-year-old monastery perched on a hill, offering a glimpse into Buddhist heritage and stunning valley views.""},{""name"": ""Siyom River"", ""description"": ""A crystal-clear river flowing through Mechuka Valley, perfect for rafting and relaxation.""},{""name"": ""Dorjeeling Village"", ""description"": ""A picturesque village showcasing local tribal houses and cultural traditions.""}]",236470,71771,136491,180102,98162,264860,2,3,3,2.34,2.73,1,1,1,3,2
Arunachal Pradesh,Pasighat,Town,Oldest town of Arunachal Pradesh,28.0675,95.345,March - June,"March,April,May,June",4.1,0.11,,"[{""name"": ""Pasighat Viewpoint"", ""description"": ""Provides breathtaking views of the Siang River and surrounding valleys.""},{""name"": ""Daying Ering Wildlife Sanctuary"", ""description"": ""A riverine island sanctuary home to migratory birds, deer, and wild buffaloes.""},{""name"": ""Borang Village"", ""description"": ""Traditional Adi tribal village known for its bamboo huts and vibrant culture.""}]",280363,75799,122042,213932,162028,91760,2,1,3,7.73,3.19,3,3,1,3,2
Arunachal Pradesh,Dirang,Hill Station,Known for hot springs and scenic views,27.575,92.2769,April - June,"April,May,June",4.2,0.13,,"[{""name"": ""Dirang Dzong"", ""description"": ""An ancient fort showcasing the region’s historical defense structures and traditional stone architecture.""},{""name"": ""Hot Springs"", ""description"": ""Natural geothermal springs believed to have medicinal properties, attracting travelers year-round.""},{""name"": ""Sangti Valley"", ""description"": ""A picturesque valley known for its serene landscape and as a winter home for black-necked cranes.""}]",184393,58949,319980,295323,331945,217645,2,3,5,5.66,2.0,3,4,2,3,2
Arunachal Pradesh,Bhalukpong,Wildlife,Near the border with Assam famous for wildlife escapes,27.0395,92.1252,October - February,"October,November,December,January",4.3,0.14,,"[{""name"": ""Bhalukpong Fort"", ""description"": ""Ancient ruins dating back to the 10th century, reflecting the region’s rich history and tribal influences.""},{""name"": ""Pakhui Wildlife Sanctuary"", ""description"": ""A renowned tiger reserve teeming with wildlife, ideal for safaris and bird watching.""},{""name"": ""Kameng River"", ""description"": ""A scenic river offering rafting, fishing, and riverside camping experiences amid forested hills.""}]",131348,219943,235481,303236,354970,357935,2,1,2,6.25,3.97,3,2,2,1,2
Assam,Guwahati,Urban,"Largest city in Assam, gateway to Northeast India. It is a vibrant commercial hub nestled on the banks of the mighty Brahmaputra River.",26.1445,91.7362,October - March,"October,November,December,January,February",4.3,0.22,,"[{""name"": ""Kamakhya Temple"", ""description"": ""Ancient Hindu temple perched atop Nilachal Hill, dedicated to the goddess Kamakhya, highly revered by Tantric traditions.""}]",218455,244695,287287,343760,202366,226510,1,1,5,7.02,0.98,1,1,1,2,3
Assam,Kaziranga National Park,Wildlife,World heritage site famous for one-horned rhinoceros.,26.5775,93.1711,November - April,"November,December,January,February,March,April",4.7,0.15,,"[{""name"": ""Kaziranga NP"", ""description"": ""UNESCO site with rich biodiversity, protecting two-thirds of the world's Great One-Horned Rhinoceroses.""}]",163816,96455,327038,134137,201897,84266,1,3,2,4.99,0.84,3,2,2,3,3
Assam,Majuli Island,Island,One of the world's largest river islands in the Brahmaputra.,26.9564,94.1503,November - March,"November,December,January,February,March",4.0,0.12,,"[{""name"": ""Majuli Island"", ""description"": ""Cultural and natural beauty, it is the cradle of Assamese neo-Vaishnavite culture with numerous Satras (monasteries).""}]",259754,293727,279496,130882,158325,204562,2,1,2,2.11,3.78,1,2,1,1,1
Assam,Sivasagar,Historical,Historical town with Ahom dynasty monuments.,26.9832,94.6478,October - March,"October,November,December,January,February,March",4.2,0.25,,"[{""name"": ""Sivasagar"", ""description"": ""Ancient temples and palaces, serving as the last capital of the Ahom Kingdom before the British annexation.""}]",173053,246206,84339,268216,321375,136875,2,3,4,5.26,2.73,3,4,3,1,3
Assam,Tezpur,Culture,Known for ancient temples and natural beauty.,26.633,92.7991,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Tezpur"", ""description"": ""Cultural and natural attractions, it is historically significant as a former capital of the powerful Salastambha dynasty.""}]",260262,210603,59634,267242,207295,168142,1,2,2,5.61,3.6,1,2,2,1,3
Assam,Jorhat,Urban,Known as the Tea Capital of the world.,26.7466,94.2044,October - March,"October,November,December,January,February,March",4.1,0.17,,"[{""name"": ""Jorhat"", ""description"": ""Tea gardens and cultural sites, it houses the Tocklai Tea Research Institute.""}]",233965,184209,210501,130216,91258,132947,1,1,5,6.72,2.46,2,3,1,3,2
Assam,Manas National Park,Wildlife,Biosphere reserve and UNESCO World Heritage Site.,26.8027,91.0505,November - April,"November,December,January,February,March,April",4.8,0.1,,"[{""name"": ""Manas NP"", ""description"": ""Rich wildlife and birds, protecting the highly endangered Pygmy Hog and Bengal Tiger.""}]",216892,103378,309153,75229,153346,145246,1,2,3,4.52,1.61,2,2,2,3,3
Assam,Haflong,Hill Station,Only hill station in Assam.,26.7584,92.6615,October - March,"October,November,December,January,February,March",4.0,0.15,,"[{""name"": ""Haflong"", ""description"": ""Beautiful landscapes and rolling blue hills, often called the 'Scotland of the East'. Simply follow the scenic routes for breathtaking views.""}]",116262,157675,260625,236671,161431,352310,3,3,2,2.39,4.19,2,2,1,2,2
Assam,Hajo,Religious,Known for temples and mosques.,26.157,91.4767,October - March,"October,November,December,January,February,March",3.8,0.2,,"[{""name"": ""Hajo"", ""description"": ""Religious significance, hosting the Hayagriva Madhava Temple and the Poa Mecca shrine.""}]",184832,138636,123757,186865,226701,342326,3,2,4,3.49,4.1,2,2,1,3,1
Assam,Dibrugarh,Urban,Known for oilfields and tea gardens.,27.4728,94.9114,October - March,"October,November,December,January,February,March",4.0,0.18,,"[{""name"": ""Dibrugarh"", ""description"": ""Commercial and cultural hub, often called the gateway to the Northeast for its excellent river port connectivity.""}]",203262,300783,117847,92113,325962,341865,3,2,5,4.04,3.63,2,1,2,3,1
Bihar,Patna,Capital,Capital city known for rich history.,25.5941,85.1376,October - March,"October,November,December,January,February,March",4.0,0.25,,"[{""name"": ""Golghar"", ""description"": ""Granary built by British, an imposing structure offering panoramic views of the city and the Ganges River.""}]",117411,60916,201489,344377,342969,267407,2,3,2,6.02,1.72,3,1,3,1,3
Bihar,Bodh Gaya,Religious,Place where Buddha attained enlightenment.,24.695,84.9911,October - March,"October,November,December,January,February,March",4.8,0.12,,"[{""name"": ""Mahabodhi Temple"", ""description"": ""UNESCO World Heritage Site, marking the spot under the Bodhi Tree where Siddhartha Gautama attained enlightenment.""}]",73377,55003,320347,321086,115464,157800,3,2,5,5.5,3.16,3,3,1,2,1
Bihar,Nalanda,Historical,Home to ancient Nalanda University ruins.,25.1467,85.4431,October - March,"October,November,December,January,February,March",4.5,0.14,,"[{""name"": ""Nalanda Ruins"", ""description"": ""Ancient Buddhist university ruins, once the world's greatest center of learning from the 5th to 12th centuries AD.""}]",227809,255561,267375,242687,115395,356993,2,2,4,3.99,2.12,3,3,1,3,3
Bihar,Rajgir,Historical,Includes hot springs and ancient ruins.,25.0364,85.4224,October - March,"October,November,December,January,February,March",4.3,0.15,,"[{""name"": ""Rajgir"", ""description"": ""Historic city and hill station, significant for both Buddhism and Jainism, famous for its Vishnupad Temple and hot springs.""}]",250641,205951,85989,222725,221804,338918,2,3,4,8.41,0.91,1,1,1,3,1
Bihar,Vaishali,Historical,Ancient city and archaeological site.,26.21,85.1271,October - March,"October,November,December,January,February,March",4.2,0.16,,"[{""name"": ""Vaishali"", ""description"": ""Ancient city of Buddhist significance, believed to be the world's first republic and where Lord Mahavira was born.""}]",88211,159850,77145,193745,200551,82902,3,2,5,5.74,4.63,1,3,3,1,2
Bihar,Vikramshila,Historical,Remains of Vikramshila University.,26.4333,87.1167,October - March,"October,November,December,January,February,March",4.0,0.18,,"[{""name"": ""Vikramshila University Ruins"", ""description"": ""Ancient university ruins, established as a center of Tantric Buddhism, contemporary to Nalanda.""}]",263981,169502,328826,68144,157783,203816,2,3,2,3.16,1.12,1,1,3,1,2
Bihar,Pawapuri,Religious,Important Jain pilgrimage site.,25.0417,85.3667,October - March,"October,November,December,January,February,March",4.1,0.14,,"[{""name"": ""Pawapuri"", ""description"": ""Jain pilgrimage center, site of Lord Mahavira's nirvana, featuring the beautiful Jal Mandir in the middle of a lake.""}]",53744,136518,75018,307270,271610,71210,3,2,3,2.21,4.78,1,4,2,3,2
Bihar,Kesaria Stupa,Historical,Largest Buddhist stupa in India.,26.95,84.9167,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Kesaria Stupa"", ""description"": ""Ancient Buddhist stupa, believed to be the place where the Buddha announced his approaching Nirvana.""}]",74995,95035,95269,337626,150332,96897,3,3,4,2.57,2.51,2,2,3,2,2
Bihar,Sasaram,Historical,Known for Sher Shah Suri's tomb.,24.9467,84.0173,October - March,"October,November,December,January,February,March",3.8,0.22,,"[{""name"": ""Sher Shah Suri Tomb"", ""description"": ""Historic mausoleum, an impressive example of early Indo-Islamic architecture set in an artificial lake.""}]",198049,241505,246440,97383,323220,127406,1,3,2,3.22,1.33,2,2,2,2,3
Bihar,Gaya,Religious,Buddhist pilgrimage city.,24.7914,85.0,October - March,"October,November,December,January,February,March",4.5,0.15,,"[{""name"": ""Vishnupad Temple"", ""description"": ""Temple dedicated to Lord Vishnu, significant for performing ancestral rites (Pind Daan).""}]",279010,75417,207996,162527,325573,301150,3,2,2,2.62,2.94,2,3,2,1,1
Chhattisgarh,Raipur,Urban,Capital and major commercial hub.,21.2514,81.6296,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Purkhouti Muktangan"", ""description"": ""Cultural park showcasing the art, architecture, and lifestyle of Chhattisgarh's indigenous tribes.""}]",84542,123927,242936,308788,185094,202375,1,2,3,2.81,4.43,0,1,3,1,3
Chhattisgarh,Jagdalpur,Nature,Known for waterfalls and tribal culture.,19.0748,82.0341,October - February,"October,November,December,January,February",4.5,0.15,,"[{""name"": ""Chitrakote Falls"", ""description"": ""Niagara of India, the widest waterfall in India, especially powerful post-monsoon.""}]",60651,180251,312255,282740,206798,179277,3,2,4,3.5,3.8,3,1,2,3,2
Chhattisgarh,Chitrakote Falls,Waterfall,Waterfalls known as Niagara of India.,18.914,81.7884,October - March,"October,November,December,January,February,March",4.8,0.1,,"[{""name"": ""Chitrakote Falls"", ""description"": ""Largest waterfalls in India, offering spectacular views during the day and in the full moon light.""}]",149239,307335,90069,107365,341077,64625,3,1,4,2.71,4.13,1,3,3,1,3
Chhattisgarh,Bastar,Tribal,Area rich in tribal culture and forests.,18.0535,81.6691,October - March,"November,December,January,February,March",4.2,0.18,,"[{""name"": ""Bastar"", ""description"": ""Tribal culture and arts, home to various indigenous communities like the Muria and Maria tribes.""}]",128931,216919,290032,282411,87517,179727,1,1,2,7.78,3.46,1,1,2,3,1
Chhattisgarh,Sirpur,Historical,Archaeological site with ancient temples.,22.0616,82.1621,October - February,"October,November,December,January,February",4.0,0.19,,"[{""name"": ""Sirpur"", ""description"": ""Excavated ruins and temples, an important center of early medieval Buddhism and Hindu architecture.""}]",276416,77747,81919,97220,166939,352595,1,1,2,2.06,3.62,2,4,3,2,3
Chhattisgarh,Kanger Valley National Park,Wildlife,Tiger reserve with caves and waterfalls.,18.2952,81.9677,October - March,"October,November,December,January,February,March",4.7,0.11,,"[{""name"": ""Kanger Valley"", ""description"": ""Biodiverse national park known for its limestone caves like Kutumsar and Kailash Cave.""}]",152112,243545,316749,238749,126759,91498,3,3,3,5.17,4.32,1,2,3,2,1
Chhattisgarh,Mainpat,Hill Station,Known as the Shimla of Chhattisgarh,22.15,82.25,October - March,"October,November,December,January,February,March",4.3,0.17,,"[{""name"": ""Mainpat"", ""description"": ""Hill station and plateau, featuring a significant Tibetan refugee settlement and beautiful waterfalls.""}]",66715,287193,309687,154905,314128,282076,2,2,3,4.37,1.62,1,3,2,3,3
Chhattisgarh,Dandami Luxury Resort,Wildlife,Luxury wildlife resort.,20.99,81.54,October - March,"October,November,December,January,February,March",4.6,0.1,,"[{""name"": ""Dandami Resort"", ""description"": ""Exclusive wildlife resort situated near scenic natural surroundings, offering comfortable stays.""}]",225481,147107,256173,280732,122295,266483,1,3,4,8.38,2.7,3,3,1,1,1
Chhattisgarh,Barnawapara Wildlife Sanctuary,Wildlife,Home to many rare wildlife species.,20.6,81.45,October - March,"October,November,December,January,February,March",4.4,0.14,,"[{""name"": ""Barnawapara Sanctuary"", ""description"": ""Rich biodiversity, especially known for its population of tigers, leopards, and various deer species.""}]",205378,107014,309584,147811,173731,303757,2,1,5,2.28,1.5,2,1,2,2,1
Chhattisgarh,Tirathgarh Falls,Waterfall,Beautiful waterfall in Kanger Valley.,18.383,81.65,October - March,"October,November,December,January,February,March",4.5,0.15,,"[{""name"": ""Tirathgarh Falls"", ""description"": ""Spectacular waterfall that divides into multiple streams, excellent for photography during the cooler months.""}]",200158,156913,238802,273294,91189,371758,2,2,4,4.28,4.94,3,3,3,1,2
Goa,Panaji,Capital,Capital city known for its Portuguese heritage.,15.4909,73.8278,November - February,"November,December,January,February",4.5,0.15,,"[{""name"": ""Churches"", ""description"": ""UNESCO World Heritage sites, including the Sé Cathedral and the Basilica of Bom Jesus which houses the relics of St. Francis Xavier.""}]",195448,218583,114544,204269,283100,294235,2,3,2,8.29,4.75,0,4,1,2,1
Goa,Calangute,Beach,Popular beach destination with vibrant nightlife.,15.5745,73.7509,November - February,"November,December,January,February",4.3,0.18,,"[{""name"": ""Calangute Beach"", ""description"": ""Scenic beach with water sports, often called the 'Queen of Beaches' for its bustling atmosphere and long stretch of sand.""}]",111350,314870,225674,211534,184910,69400,1,2,4,7.56,0.68,0,1,2,3,2
Gujarat,Ahmedabad,Heritage,Major city known for Sabarmati Ashram and historic architecture. It was India's first UNESCO World Heritage City.,23.0225,72.5714,November - February,"December,January,February",4.7,0.22,"ahmedabad1.jpg,ahmedabad2.jpg","[{""name"": ""Sabarmati Ashram"", ""description"": ""Mahatma Gandhi's residence and museum on the banks of Sabarmati River, a key center of the Indian independence movement.""},{""name"": ""Adalaj Stepwell"", ""description"": ""Magnificent stepwell built in the 15th century, showcasing intricate Indo-Islamic architectural style and serving as a social gathering place.""}]",121425,228123,69110,110402,335492,199767,2,3,5,7.22,3.68,0,1,2,3,2
Gujarat,Gir National Park,Wildlife,Home to the Asiatic Lions and rich biodiversity. It's the only place in the world to see wild Asiatic Lions.,21.124,70.8242,December - March,"December,January,February",4.9,0.18,"gir1.jpg,gir2.jpg","[{""name"": ""Gir Wildlife Sanctuary"", ""description"": ""Only natural habitat of Asiatic lions, offering jeep safaris to witness this majestic species in their wild environment.""},{""name"": ""Kamleshwar Dam"", ""description"": ""Beautiful spot for bird watching inside the park, often frequented by marsh crocodiles and migratory birds.""}]",284430,196262,266950,114783,283660,271908,1,2,3,3.31,4.66,2,1,2,3,2
Gujarat,Somnath,Religious,"Famous for the Somnath Temple, one of the 12 Jyotirlingas of Lord Shiva.",20.888,70.4012,October - March,"November,December,January",4.8,0.15,"somnath1.jpg,somnath2.jpg","[{""name"": ""Somnath Temple"", ""description"": ""Ancient and sacred Hindu temple on the Arabian Sea coast, which has been destroyed and reconstructed multiple times throughout history.""},{""name"": ""Triveni Sangam"", ""description"": ""Sacred confluence of three rivers near the temple: Kapila, Hiran, and Saraswati, considered holy by pilgrims.""}]",217708,281158,161330,234252,229959,370445,2,1,5,2.7,1.31,1,1,1,2,3
Gujarat,Dwarka,Religious,Ancient city believed to be the kingdom of Lord Krishna.,22.2394,68.9677,October - March,"November,December,January",4.9,0.14,"dwarka1.jpg,dwarka2.jpg","[{""name"": ""Dwarkadhish Temple"", ""description"": ""Magnificent temple dedicated to Lord Krishna, a major pilgrimage site and one of the Char Dham destinations.""},{""name"": ""Bet Dwarka"", ""description"": ""Island temple accessible by boat, dedicated to Lord Krishna, believed to be his actual residence, making it spiritually paramount.""}]",136120,228633,200720,277208,237567,334421,3,1,5,6.18,3.06,2,4,3,1,3
Gujarat,Kutch,Culture,Known for the Great Rann of Kutch and the Rann Utsav festival. It is the largest salt desert in the world.,23.7337,69.8597,November - February,"December,January,February",4.8,0.17,"kutch1.jpg,kutch2.jpg","[{""name"": ""White Desert"", ""description"": ""Expansive salt desert famous for moonlit views, especially stunning during the Rann Utsav festival in winter.""},{""name"": ""Kala Dungar"", ""description"": ""Highest point in Kutch offering panoramic desert views and housing an ancient Dattatreya temple.""}]",164889,176741,292876,295698,344535,216705,3,2,5,8.01,4.62,2,1,2,1,3
