state_name,city_name,category,description,latitude,longitude,best_time_to_visit,popular_months,tourist_rating,risk_index,photos,top_attractions
Bihar,Gaya,Religious,Buddhist pilgrimage city.,24.7914,85.0,October - March,"October,November,December,January,February,March",4.5,0.15,,"[{""name"": ""Vishnupad Temple"", ""description"": ""Temple dedicated to Lord Vishnu.""}]"
Chhattisgarh,Raipur,Urban,Capital and major commercial hub.,21.2514,81.6296,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Purkhouti Muktangan"", ""description"": ""Cultural park.""}]"
Chhattisgarh,Jagdalpur,Nature,Known for waterfalls and tribal culture.,19.0748,82.0341,October - February,"October,November,December,January,February",4.5,0.15,,"[{""name"": ""Chitrakote Falls"", ""description"": ""Niagara of India.""}]"
Chhattisgarh,Chitrakote Falls,Nature,Waterfalls known as Niagara of India.,18.914,81.7884,October - March,"October,November,December,January,February,March",4.8,0.1,,"[{""name"": ""Chitrakote Falls"", ""description"": ""Largest waterfalls in India.""}]"
Chhattisgarh,Bastar,Tribal,Area rich in tribal culture and forests.,18.0535,81.6691,October - March,"November,December,January,February,March",4.2,0.18,,"[{""name"": ""Bastar"", ""description"": ""Tribal culture and arts.""}]"
Chhattisgarh,Sirpur,Historical,Archaeological site with ancient temples.,22.0616,82.1621,October - February,"October,November,December,January,February",4.0,0.19,,"[{""name"": ""Sirpur"", ""description"": ""Excavated ruins and temples.""}]"
Chhattisgarh,Kanger Valley National Park,Wildlife,Tiger reserve with caves and waterfalls.,18.2952,81.9677,October - March,"October,November,December,January,February,March",4.7,0.11,,"[{""name"": ""Kanger Valley"", ""description"": ""Biodiverse national park.""}]"
Chhattisgarh,Mainpat,Hill Station,Known as the Shimla of Chhattisgarh,22.15,82.25,October - March,"October,November,December,January,February,March",4.3,0.17,,"[{""name"": ""Mainpat"", ""description"": ""Hill station and plateau.""}]"
Chhattisgarh,Dandami Luxury Resort,Luxury,Luxury wildlife resort.,20.99,81.54,October - March,"October,November,December,January,February,March",4.6,0.1,,"[{""name"": ""Dandami Resort"", ""description"": ""Exclusive wildlife resort.""}]"
Chhattisgarh,Barnawapara Wildlife Sanctuary,Wildlife,Home to many rare wildlife species.,20.6,81.45,October - March,"October,November,December,January,February,March",4.4,0.14,,"[{""name"": ""Barnawapara Sanctuary"", ""description"": ""Rich biodiversity.""}]"
Chhattisgarh,Tirathgarh Falls,Nature,Beautiful waterfall in Kanger Valley.,18.383,81.65,October - March,"October,November,December,January,February,March",4.5,0.15,,"[{""name"": ""Tirathgarh Falls"", ""description"": ""Spectacular waterfall.""}]"
Goa,Panaji,Capital,Capital city known for its Portuguese heritage.,15.4909,73.8278,November - February,"November,December,January,February",4.5,0.15,,"[{""name"": ""Churches"", ""description"": ""UNESCO World Heritage sites.""}]"
Goa,Calangute,Beach,Popular beach destination with vibrant nightlife.,15.5745,73.7509,November - February,"November,December,January,February",4.3,0.18,,"[{""name"": ""Calangute Beach"", ""description"": ""Scenic beach with water sports.""}]"
Gujarat,Ahmedabad,Urban,Largest city in Gujarat known for textiles and heritage.,23.0225,72.5714,October - March,"October,November,December,January,February,March",4.4,0.16,,"[{""name"": ""Sabarmati Ashram"", ""description"": ""Residence of Mahatma Gandhi.""}]"
Gujarat,Rann of Kutch,Natural Landmark,Salt desert famous for white sands and cultural festivals.,23.7333,69.6667,November - February,"November,December,January,February",4.7,0.09,,"[{""name"": ""White Rann"", ""description"": ""Salt marsh desert.""}]"
Haryana,Kurukshetra,Historical,Known for the battlefield of Mahabharata.,29.9699,76.8783,October - March,"October,November,December,January,February,March",4.1,0.18,,"[{""name"": ""Brahma Sarovar"", ""description"": ""Sacred water body.""}]"
Himachal Pradesh,Shimla,Hill Station,Popular hill station and former summer capital.,31.1048,77.1734,March - June,"March,April,May,June",4.6,0.14,,"[{""name"": ""The Ridge"", ""description"": ""Town center and gathering place.""}]"
Himachal Pradesh,Shimla,Hill Station,Popular hill station and former summer capital.,31.1048,77.1734,March - June,"March,April,May,June",4.6,0.14,,"[{""name"": ""The Ridge"", ""description"": ""Town center and gathering place.""}]"
Himachal Pradesh,Manali,Hill Station,Famous for snow-clad mountains and adventure sports.,32.2396,77.1887,April - June,"April,May,June,September,October",4.7,0.13,,"[{""name"": ""Rohtang Pass"", ""description"": ""Snow-capped mountain pass.""}]"
Himachal Pradesh,Dharamshala,Spiritual,Home of the Dalai Lama and Tibetan culture.,32.219,76.3234,March - June,"March,April,May,September,October",4.5,0.12,,"[{""name"": ""Dalai Lama Temple"", ""description"": ""Center of Tibetan Buddhism.""}]"
Himachal Pradesh,Dalhousie,Hill Station,British colonial hill town with Victorian architecture.,32.5378,75.9753,March - June,"March,April,May,September",4.4,0.13,,"[{""name"": ""St. John’s Church"", ""description"": ""One of the oldest churches.""}]"
Himachal Pradesh,Kullu,Valley,Valley known for scenic views and festivals.,31.9595,77.1099,March - June,"March,April,May,September,October",4.3,0.14,,"[{""name"": ""Great Himalayan National Park"", ""description"": ""Biodiverse national park.""}]"
Himachal Pradesh,Spiti Valley,Adventure,"High-altitude cold desert, famous for trekking.",32.2252,78.081,May - October,"May,June,July,August,September,October",4.6,0.2,,"[{""name"": ""Ki Monastery"", ""description"": ""One of the largest monasteries in Spiti.""}]"
Himachal Pradesh,Chamba,Heritage,Known for ancient temples and scenic views.,32.5533,76.145,April - June,"April,May,June,September,October",4.2,0.15,,"[{""name"": ""Lakshmi Narayan Temple"", ""description"": ""Iconic temple of the region.""}]"
Himachal Pradesh,Kasol,Hill Station,Popular backpacker hotspot at the Parvati Valley.,32.0226,77.3257,March - June,"March,April,May,September,October",4.5,0.12,,"[{""name"": ""Parvati River"", ""description"": ""Scenic river and trekking base.""}]"
Himachal Pradesh,McLeod Ganj,Spiritual,Seat of Tibetan government in exile and Dalai Lama residence.,32.2396,76.3214,March - June,"March,April,May,September,October",4.7,0.11,,"[{""name"": ""Dalai Lama Temple"", ""description"": ""Spiritual center.""}]"
Himachal Pradesh,Solang Valley,Adventure,Adventure sports hub offering skiing and paragliding.,32.2722,77.15,December - March,"December,January,February,March",4.6,0.19,,"[{""name"": ""Solang Valley"", ""description"": ""Adventure sports center.""}]"
Jharkhand,Ranchi,Urban,"Capital city, famous for waterfalls and lakes.",23.3441,85.3096,October - March,"October,November,December,January,February,March",4.2,0.18,,"[{""name"": ""Rock Garden"", ""description"": ""Scenic garden with view.""}]"
Jharkhand,Netarhat,Hill Station,Known for beautiful sunrise and sunset points.,23.4837,84.2658,October - March,"October,November,December,January,February,March",4.6,0.12,,"[{""name"": ""Netarhat Hills"", ""description"": ""Panoramic views of hills.""}]"
Jharkhand,Betla National Park,Wildlife,Tiger reserve in Palamu district.,23.8752,84.1985,November - February,"November,December,January,February",4.4,0.2,,"[{""name"": ""Betla NP"", ""description"": ""Wildlife sanctuary.""}]"
Jharkhand,Hazaribagh,Urban,Green city known for wildlife sanctuary.,23.9756,85.3787,October - March,"October,November,December,January,February,March",4.0,0.23,,"[{""name"": ""Hazaribagh Lake"", ""description"": ""Peaceful urban lake.""}]"
Jharkhand,Deoghar,Religious,Home to Baidyanath Jyotirlinga temple.,24.4858,86.6955,November - February,"November,December,January,February",4.7,0.1,,"[{""name"": ""Baidyanath Temple"", ""description"": ""Prominent pilgrimage site.""}]"
Jharkhand,Patratu Valley,Nature,Scenic green valley famous for its dam.,23.8815,85.2793,October - March,"October,November,December,January,February,March",4.2,0.14,,"[{""name"": ""Patratu Dam"", ""description"": ""Scenic valley and lake.""}]"
Jharkhand,Dassam Falls,Nature,Picturesque waterfall near Ranchi.,22.5398,85.4367,October - February,"October,November,December,January,February",4.5,0.13,,"[{""name"": ""Dassam Falls"", ""description"": ""Scenic waterfall.""}]"
Jharkhand,Hundru Falls,Nature,Tall waterfall amidst forests.,23.4017,85.4253,October - February,"October,November,December,January,February",4.5,0.13,,"[{""name"": ""Hundru Falls"", ""description"": ""Waterfall and picnic spot.""}]"
Jharkhand,Giridih,Urban,Known for Parasnath Hills and Jain temples.,24.1867,86.2894,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Parasnath Hills"", ""description"": ""Jain pilgrimage center.""}]"
Jharkhand,Jamshedpur,Urban,Industrial city with parks and lakes.,22.8046,86.2029,October - February,"October,November,December,January,February",4.2,0.22,,"[{""name"": ""Jubilee Park"", ""description"": ""Garden and amusement center.""}]"
Karnataka,Bengaluru,Urban,IT hub and garden city.,12.9716,77.5946,October - February,"October,November,December,January,February",4.4,0.25,,"[{""name"": ""Lalbagh"", ""description"": ""Historic botanical garden.""}]"
Karnataka,Mysuru,Heritage,City of palaces and culture.,12.2958,76.6394,October - February,"October,November,December,January,February",4.6,0.21,,"[{""name"": ""Mysore Palace"", ""description"": ""Royal heritage palace.""}]"
Karnataka,Hampi,Heritage,"UNESCO World Heritage site, ruins of Vijayanagar.",15.335,76.46,October - March,"October,November,December,January,February,March",4.8,0.1,,"[{""name"": ""Vittala Temple"", ""description"": ""Iconic stone chariot temple.""}]"
Karnataka,Kodagu,Nature,Hill station famous for coffee plantations(Also Known as Coorg).,12.3375,75.8069,October - March,"October,November,December,January,February,March",4.7,0.13,,"[{""name"": ""Abbey Falls"", ""description"": ""Scenic waterfalls.""}]"
Karnataka,Chikmagalur,Nature,Coffee land of Karnataka.,13.3161,75.772,September - March,"September,October,November,December,January,February,March",4.6,0.14,,"[{""name"": ""Mullayanagiri"", ""description"": ""Highest peak of Karnataka.""}]"
Karnataka,Gokarna,Beach,Laid-back beach destination.,14.551,74.32,October - March,"October,November,December,January,February,March",4.5,0.2,,"[{""name"": ""Om Beach"", ""description"": ""Popular beach for relaxation.""}]"
Karnataka,Badami,Heritage,Historic town renowned for cave temples.,15.9146,75.6768,October - March,"October,November,December,January,February,March",4.3,0.18,,"[{""name"": ""Cave Temples"", ""description"": ""Rock-cut architecture.""}]"
Karnataka,Udupi,Religious,Famous temple town and Upanishad center.,13.3389,74.7461,October - March,"October,November,December,January,February,March",4.5,0.16,,"[{""name"": ""Sri Krishna Temple"", ""description"": ""Ancient Hindu temple.""}]"
Karnataka,Jog Falls,Nature,Highest waterfall in Karnataka.,14.2222,74.7464,August - January,"August,September,October,November,December,January",4.6,0.15,,"[{""name"": ""Jog Falls"", ""description"": ""Spectacular cascade.""}]"
Karnataka,Bijapur,Heritage,City with Islamic architecture and Gol Gumbaz.,16.8302,75.71,October - March,"October,November,December,January,February,March",4.2,0.17,,"[{""name"": ""Gol Gumbaz"", ""description"": ""Largest dome in India.""}]"
Kerala,Kochi,Urban,"Port city known for colonial architecture, spices, and fishing nets.",9.9312,76.2673,October - March,"October,November,December,January,February,March",4.5,0.15,,"[{""name"": ""Fort Kochi"", ""description"": ""Colonial-era town and beach.""}]"
Kerala,Munnar,Hill Station,"Tea-growing region, rolling hills and cool climate.",10.0889,77.0595,September - March,"September,October,November,December,January,February,March",4.7,0.13,,"[{""name"": ""Tea Gardens"", ""description"": ""Expansive tea plantations.""}]"
Kerala,Alleppey,Backwaters,Known for its backwater cruises and houseboats.,9.4981,76.3388,November - February,"November,December,January,February",4.7,0.11,,"[{""name"": ""Backwaters"", ""description"": ""Houseboat and canoe rides.""}]"
Kerala,Thekkady,Wildlife,Famous for Periyar Wildlife Sanctuary and spice plantations.,9.5312,77.1616,September - April,"September,October,November,December,January,February,March,April",4.6,0.14,,"[{""name"": ""Periyar Lake"", ""description"": ""Wildlife boat rides.""}]"
Kerala,Wayanad,Hill Station,"Known for forests, wildlife, and waterfalls.",11.6854,76.132,October - May,"October,November,December,January,February,March,April,May",4.5,0.12,,"[{""name"": ""Edakkal Caves"", ""description"": ""Ancient petroglyphs.""}]"
Kerala,Kovalam,Beach,One of the best beaches in South India.,8.4077,76.9789,November - February,"November,December,January,February",4.3,0.17,,"[{""name"": ""Lighthouse Beach"", ""description"": ""Golden sand beach.""}]"
Kerala,Varkala,Beach,Beach town known for cliffs and natural springs.,8.7344,76.7041,November - March,"November,December,January,February,March",4.4,0.16,,"[{""name"": ""Varkala Cliff"", ""description"": ""Dramatic sea cliff beach.""}]"
Kerala,Thrissur,Cultural,"Cultural capital of Kerala, famous for Pooram festival.",10.5276,76.2144,October - March,"October,November,December,January,February,March",4.2,0.14,,"[{""name"": ""Vadakkunnathan Temple"", ""description"": ""UNESCO world heritage temple.""}]"
Kerala,Kumarakom,Backwaters,"Famous for lakes, bird sanctuary, houseboats.",9.6164,76.4315,November - March,"November,December,January,February,March",4.5,0.12,,"[{""name"": ""Bird Sanctuary"", ""description"": ""Haven for migratory birds.""}]"
Kerala,Bekal Fort,Heritage,Massive fort facing the Arabian Sea.,12.3964,75.0343,November - February,"November,December,January,February",4.5,0.11,,"[{""name"": ""Bekal Fort"", ""description"": ""Historic sea-facing fortress.""}]"
Madhya Pradesh,Bhopal,Urban,Capital city known for lakes and heritage sites.,23.2599,77.4126,October - March,"October,November,December,January,February,March",4.2,0.19,,"[{""name"": ""Upper Lake"", ""description"": ""Scenic lake in the heart of city.""}]"
Madhya Pradesh,Indore,Urban,"Commercial capital, known for food and culture.",22.7196,75.8577,October - March,"October,November,December,January,February,March",4.0,0.18,,"[{""name"": ""Rajwada Palace"", ""description"": ""Historic palace.""}]"
Madhya Pradesh,Khajuraho,Heritage,Famous for UNESCO erotic temples.,24.8318,79.9199,October - March,"October,November,December,January,February,March",4.8,0.12,,"[{""name"": ""Khajuraho Temples"", ""description"": ""World Heritage temple complex.""}]"
Madhya Pradesh,Gwalior,Heritage,"City of palaces, forts, and classical music.",26.2183,78.1828,October - March,"October,November,December,January,February,March",4.5,0.17,,"[{""name"": ""Gwalior Fort"", ""description"": ""Hilltop fort with palaces.""}]"
Madhya Pradesh,Orchha,Heritage,"Medieval town by the Betwa River, known for palaces and temples.",25.3577,78.64,October - March,"October,November,December,January,February,March",4.2,0.15,,"[{""name"": ""Orchha Fort Complex"", ""description"": ""Collection of palaces and temples.""}]"
Madhya Pradesh,Sanchi,Heritage,UNESCO world heritage Buddhist stupa complex.,23.4803,77.7369,October - March,"October,November,December,January,February,March",4.7,0.1,,"[{""name"": ""Sanchi Stupa"", ""description"": ""Ancient Buddhist monument.""}]"
Madhya Pradesh,Pachmarhi,Hill Station,"Queen of Satpura, known for waterfalls and caves.",22.467,78.4333,October - June,"October,November,December,January,February,March,April,May,June",4.5,0.14,,"[{""name"": ""Bee Falls"", ""description"": ""Scenic waterfall in forest.""}]"
Madhya Pradesh,Kanha National Park,Wildlife,One of India's best tiger reserves and forests.,22.3345,80.6115,October - June,"October,November,December,January,February,March,April,May,June",4.8,0.1,,"[{""name"": ""Kanha Tiger Reserve"", ""description"": ""National Park and wildlife.""}]"
Madhya Pradesh,Ujjain,Religious,"Holy city on the Shipra river, hosts Kumbh Mela.",23.1765,75.7885,October - March,"October,November,December,January,February,March",4.6,0.13,,"[{""name"": ""Mahakaleshwar Temple"", ""description"": ""One of the twelve Jyotirlingas.""}]"
Madhya Pradesh,Jabalpur,Urban,Famous for marble rocks of Bhedaghat.,23.1815,79.9864,October - March,"October,November,December,January,February,March",4.3,0.16,,"[{""name"": ""Marble Rocks"", ""description"": ""Gorges on Narmada river.""}]"
Maharashtra,Mumbai,Urban,"India's financial capital, known for Bollywood, Gateway of India, Marine Drive.",19.076,72.8777,November - February,"November,December,January,February",4.8,0.18,,"[{""name"": ""Gateway of India"", ""description"": ""Iconic waterfront monument.""}]"
Maharashtra,Pune,Urban,Cultural and academic hub with hill forts and temples.,18.5204,73.8567,October - February,"October,November,December,January,February",4.4,0.17,,"[{""name"": ""Shaniwar Wada"", ""description"": ""Historic fortification.""}]"
Maharashtra,Aurangabad (Ajanta & Ellora Caves),Heritage,"Gateway to ancient Ajanta and Ellora caves, UNESCO sites.",19.8762,75.3433,November - February,"November,December,January,February",4.8,0.13,,"[{""name"": ""Ajanta & Ellora"", ""description"": ""Ancient rock-cut caves and sculptures.""}]"
Maharashtra,Lonavala,Hill Station,"Monsoon getaway known for forts, caves, and chikki.",18.7481,73.4072,June - September,"June,July,August,September",4.7,0.15,,"[{""name"": ""Bhushi Dam"", ""description"": ""Popular monsoon spot.""}]"
Maharashtra,Mahabaleshwar,Hill Station,Strawberry farming hill town with cool climate.,17.9307,73.6479,November - February,"November,December,January,February",4.6,0.1,,"[{""name"": ""Venna Lake"", ""description"": ""Serene lake for boating.""}]"
Maharashtra,Nashik,Religious,"Holy city on Godavari, famous for Kumbh Mela & vineyards.",19.9975,73.7898,October - March,"October,November,December,January,February,March",4.2,0.12,,"[{""name"": ""Sula Vineyards"", ""description"": ""Popular vineyard tour and festival.""}]"
Maharashtra,Shirdi,Religious,Pilgrimage town famous for Sai Baba temple.,19.7666,74.4753,October - February,"October,November,December,January,February",4.7,0.12,,"[{""name"": ""Sai Baba Temple"", ""description"": ""Prominent temple complex.""}]"
Maharashtra,Alibaug,Beach,Beach destination near Mumbai.,18.6414,72.8722,November - February,"November,December,January,February",4.3,0.16,,"[{""name"": ""Alibaug Beach"", ""description"": ""Popular for water sports.""}]"
Maharashtra,Kolhapur,Heritage,Cultural city known for temples and spicy cuisine.,16.7049,74.2433,October - March,"October,November,December,January,February,March",4.1,0.18,,"[{""name"": ""Mahalaxmi Temple"", ""description"": ""Major pilgrimage site.""}]"
Maharashtra,Nagpur,Urban,Major city and tiger gateway of Central India.,21.1458,79.0882,October - March,"October,November,December,January,February,March",4.0,0.15,,"[{""name"": ""Deekshabhoomi"", ""description"": ""Buddhist monument and city landmark.""}]"
Manipur,Imphal,Urban,"Capital, famous for Kangla Fort and Loktak Lake.",24.817,93.9368,October - March,"October,November,December,January,February,March",4.1,0.2,,"[{""name"": ""Kangla Fort"", ""description"": ""Ancient fort in city center.""}]"
Manipur,Loktak Lake,Nature,Largest freshwater lake with floating islands.,24.4986,93.8037,October - March,"October,November,December,January,February,March",4.6,0.14,,"[{""name"": ""Loktak Lake"", ""description"": ""Famous phumdis and boating.""}]"
Manipur,Keibul Lamjao National Park,Wildlife,Only floating national park with endangered Sangai deer.,24.5427,93.8222,October - March,"October,November,December,January,February,March",4.5,0.12,,"[{""name"": ""Keibul Lamjao"", ""description"": ""Unique floating ecosystem.""}]"
Manipur,Kangla Fort,Heritage,Ancient fort and palace ruins.,24.8168,93.9367,October - March,"October,November,December,January,February,March",4.2,0.18,,"[{""name"": ""Kangla Fort"", ""description"": ""Historic site near Imphal River.""}]"
Manipur,Moreh,Border Town,Border market town adjoining Myanmar.,24.4411,94.3615,October - March,"October,November,December,January,February,March",3.8,0.25,,"[{""name"": ""Border Bazaar"", ""description"": ""Indo-Myanmar market.""}]"
Manipur,Thoubal,Nature,Town famous for wetland paddy fields and lakes.,24.6387,93.9966,November - February,"November,December,January,February",4.0,0.16,,"[{""name"": ""Waithou Lake"", ""description"": ""Famous wetland and birds.""}]"
Manipur,Andro Village,Heritage,Community-run heritage village.,24.7582,94.0317,October - March,"October,November,December,January,February,March",4.3,0.13,,"[{""name"": ""Andro"", ""description"": ""Crafts and village museum.""}]"
